ISO,NaoViolentos_Africa,NaoViolentos_Americas,NaoViolentos_Asia,NaoViolentos_Europa,NaoViolentos
TUV,15685.0108159192,11282.5061431534,8069.239388885,15179.9686667887,12554.1812536866
TWN,8875.14437264863,16300.0576769003,1647.25108667324,8857.74463521387,8920.049442859
TZA,1712.70117749818,12148.2749721796,9690.0391559113,6303.02277067115,7463.50951906506
UGA,1180.40771346138,11901.0080401568,9564.23374064578,5528.95129198404,7043.650196562
UKR,4656.99384514679,11540.906033348,6977.88987517043,1107.97400104033,6070.9409386764
URY,11030.644383369,4167.48955119733,18968.5850834801,11830.7071952754,11499.3565533304
USA,11539.817032432,4927.03070813969,11668.3919823424,7272.6223004206,8851.96550583367
UZB,4666.48075386632,14349.0980696476,4377.94367689056,4030.83063754499,6856.08828448737
VAT,4464.44266798742,10298.5072430219,8623.38525782505,1094.23195219989,6120.14178025857
VCT,10858.8821557829,3870.97903549933,14614.9468149229,8182.14690051971,9381.73872668121
VEN,11524.9516798167,3517.58425689066,14893.5718022449,8815.64439174299,9687.93803267382
VGB,11092.7230850223,3846.14976156767,14042.9511580263,8008.29962607947,9247.53090767392
VNM,7289.22785224711,16813.176120983,1958.05014257009,8093.85746767404,8538.57789586856
VUT,14501.5224874546,12141.4147829299,7944.07905168853,15601.9557748345,12547.2430242269
WSM,16663.7064888777,10364.2910151388,9185.53803553315,15998.7610111356,13053.0741376713
YEM,918.182918963575,13023.5761712484,7599.03242776546,4381.55247245683,6480.58599760858
ZAF,4012.07637988687,11149.5052216575,11569.166423005,8289.07413121695,8754.95553894158
ZMB,2938.37504847195,11319.2446566553,10935.8988797379,7159.87059032995,8088.34729379876
ZWE,3087.64372540051,11545.4451200633,10842.9117903564,7463.98594006022,8234.99664397012
