ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos
GRD,7894.59751977314,2664.20023850478,14952.9355845252,8106.43159892835,8404.54123543286
GRL,5559.73799873131,5706.9544126975,9304.35108107725,4235.09681933764,6201.53507796093
GTM,10374.3181846838,815.176008380189,14353.2380380442,9939.95724597787,8870.67236927152
GUY,7862.73027002353,3234.21751546242,15396.2288097822,8279.45952498882,8693.15903006425
HND,10113.135617376,675.809291360597,14529.7610077583,9757.81686422739,8769.13069518057
HRV,1453.93140796708,9417.9692725172,7907.01273113468,703.30039939322,4870.55345275304
HTI,8509.46536437676,1463.22380304685,14349.6396364005,8344.00021039012,8166.58225355355
HUN,1696.03079105387,9575.31094709799,7619.73595565864,638.818154669253,4882.47396211994
IDN,10723.8009738632,18079.2986820153,4346.71951592469,10595.9115561257,10936.4326819822
IMN,2741.90474159359,7795.14648726972,8670.1526359818,1533.82130745813,5185.25629307581
IRL,2748.94225227133,7682.46813237404,8813.10117536215,1631.44729269438,5218.98971317547
IRN,3509.57281548843,12504.4639589029,5476.08121050012,3270.41855770226,6190.13413564843
IRQ,2901.94213166751,12202.6264103749,6142.07865271929,2962.5900614985,6052.30931406505
ISL,4226.85479301179,6923.25845437973,8645.93586311314,2810.44540576063,5651.62362906632
ISR,2074.04453400568,11599.3368686917,6985.75064496075,2534.04375848569,5798.29395153595
ITA,1000.38235757384,9298.92374908748,8340.23485309736,1045.60616797549,4921.28678193354
JAM,8945.83843062708,1060.97166067918,14375.2698974154,8707.56582407445,8272.41145319903
JEY,2209.96156762044,8009.70523115397,8861.6421986236,1349.64353214949,5107.73813238687
JOR,2137.83842346085,11646.8597765394,6918.51509964169,2558.88506258851,5815.5245905576
JPN,10601.195751263,12406.0492668002,2983.26867339704,9111.15277554033,8775.41661675015
KAZ,5076.61777152886,12007.1634071245,4124.21602273013,3918.95346069082,6281.73766551859
KEN,4528.03213850936,13418.3504965215,8511.18260813591,5946.72593053579,8101.07279342564
KGZ,5394.53348980468,12946.810324642,3683.88437950118,4514.0980903595,6634.83157107683
KHM,9484.21692381388,16523.1499898424,2540.29974832091,8983.60924864746,9382.81897765615
KIR,15668.4218611037,11224.1180392273,7472.0245944659,13983.2207489444,12086.9463109353
KNA,7694.34034952872,2440.29543976939,14422.5826150728,7751.16896972138,8077.09684352306
KOR,9629.34379727642,12985.2746843674,1960.87805352128,8268.78088799208,8211.06935578928
KWT,3326.17808737509,12743.0507321022,5953.41072842508,3508.10116618475,6382.68517852179
LAO,8897.93356617127,15915.2717574741,2131.4825563968,8294.48671591507,8809.79364898931
LBN,2073.59474576082,11495.1962569184,6883.82062189908,2364.6110503695,5704.30566873695
LBR,3848.33911851176,8152.85402716931,12397.2641133823,5386.11492366572,7446.14304568228
LBY,0,9684.57846074866,8760.89368895477,1895.85528641226,5085.33185902892
LCA,7713.51695609378,2682.55628918668,14734.3955428821,7891.25448226284,8255.43081760634
LIE,1611.44131189987,8901.55346572119,8271.1028732455,748.018553049643,4883.02905097905
LKA,7421.22578676775,16789.9084712706,4345.5674380646,7557.00983876979,9028.42788371818
LSO,7048.43708014862,13114.0264956486,10987.9371549058,8765.38311418006,9978.94596122077
