ISO,value,Kabul_78_Asia,Kabul_79_Asia,Vienna_45_Europa,Sofia_47_Europa,Beijing_46_Asia,Beijing_48_Asia,Beijing_49_Asia,Beijing_50_Asia,Beijing_89_Asia,Havanna_59_Americas,Havanna_62_Americas,Bonn_48_Europa,Bonn_48_Europa.1,Bonn_53_Europa,Bonn_60_Europa,Bonn_61_Europa,Athens_46_Europa,Budapest_56_Europa,PhnumPenh_70_Asia,PhnumPenh_75_Asia,Soul_50_Asia,Vientiane_62_Asia,Vientiane_75_Asia,Tripoli_69_Africa,Managua_79_Americas,Prague_48_Europa,Prague_68_Europa,Warsaw_45_Europa,Warsaw_56_Europa,Warsaw_81_Europa,Pyongyang_46_Asia,Pyongyang_50_Asia,Pyongyang_55_Asia,Pyongyang_69_Asia,SanSalvador_79_Americas,Taipei_58_Asia,HaNoi_54_Asia,HaNoi_54_Asia.1,HaNoi_68_Asia,HaNoi_75_Asia
BDI,,5910.12389522296,5910.12389522296,5851.90192025674,5137.37125748924,9995.87576651058,9995.87576651058,9995.87576651058,9995.87576651058,9995.87576651058,12384.2992795337,12384.2992795337,6360.33891187919,,6360.33891187919,6360.33891187919,6360.33891187919,4614.5435582108,5720.8195785369,8522.28789847251,8522.28789847251,10910.9326368615,8366.28679286005,8366.28679286005,4361.12937246592,12885.7650983294,6093.8848232463,6093.8848232463,6211.49491065297,6211.49491065297,6211.49491065297,10798.2994420684,10798.2994420684,10798.2994420684,10798.2994420684,13192.9650395535,10394.063825168,8751.76789572217,,8751.76789572217,8751.76789572217
BEL,,5420.59939462688,5420.59939462688,917.142665662929,1701.23862420345,7982.37384377782,7982.37384377782,7982.37384377782,7982.37384377782,7982.37384377782,7823.591878933,7823.591878933,194.215148519446,,194.215148519446,194.215148519446,194.215148519446,2091.4996849006,1139.67561387504,9749.44391299088,9749.44391299088,8727.88392260919,9042.3461754684,9042.3461754684,2120.43793943755,9015.14754802642,719.324065238597,719.324065238597,1163.13482162033,1163.13482162033,1163.13482162033,8532.95289447794,8532.95289447794,8532.95289447794,8532.95289447794,9085.33266245206,9601.27883761726,8993.3881359644,,8993.3881359644,8993.3881359644
BEN,,7460.11762180632,7460.11762180632,4802.97207682575,4497.41222795154,11527.4633057509,11527.4633057509,11527.4633057509,11527.4633057509,11527.4633057509,9223.31471579845,9223.31471579845,4921.64331041974,,4921.64331041974,4921.64331041974,4921.64331041974,4086.9421695888,4806.97987788213,11203.6575488315,11203.6575488315,12472.3826338209,10844.4937873678,10844.4937873678,3120.13969671195,9748.39373825606,4955.90211727827,4955.90211727827,5342.96850044477,5342.96850044477,5342.96850044477,12301.668595721,12301.668595721,12301.668595721,12301.668595721,10043.5444070993,12558.2212984099,11119.2261806257,,11119.2261806257,11119.2261806257
BFA,,7481.51768618679,7481.51768618679,4306.99976412411,4128.43730937777,11392.4106730957,11392.4106730957,11392.4106730957,11392.4106730957,11392.4106730957,8557.97709622559,8557.97709622559,4326.66344202636,,4326.66344202636,4326.66344202636,4326.66344202636,3786.07142739363,4344.52944285605,11487.3736921599,11487.3736921599,12311.230680185,11051.6449539294,11051.6449539294,2722.95457267305,9172.56248983737,4429.52391855222,4429.52391855222,4860.50951311247,4860.50951311247,4860.50951311247,12129.7594378582,12129.7594378582,12129.7594378582,12129.7594378582,9449.26765951786,12593.597938539,11275.8950214236,,11275.8950214236,11275.8950214236
BGD,,2375.30417837289,2375.30417837289,6910.92632178317,6417.50626860772,3019.00347951151,3019.00347951151,3019.00347951151,3019.00347951151,3019.00347951151,14752.2931961286,14752.2931961286,7536.42503164442,,7536.42503164442,7536.42503164442,7536.42503164442,6430.48500543894,6710.47258470642,2047.5812683601,2047.5812683601,3790.28894220123,1423.99476153778,1423.99476153778,7475.20234929178,16010.3255756044,7032.20775970506,7032.20775970506,6560.7733553898,6560.7733553898,6560.7733553898,3727.71920294748,3727.71920294748,3727.71920294748,3727.71920294748,15854.3511980498,3155.21279062917,1618.44794161603,,1618.44794161603,1618.44794161603
BGR,,4043.88854368158,4043.88854368158,818.223384474192,0,7370.67318230649,7370.67318230649,7370.67318230649,7370.67318230649,7370.67318230649,9490.18534215435,9490.18534215435,1523.18644692226,,1523.18644692226,1523.18644692226,1523.18644692226,524.574227170067,624.831102030409,8463.70836777943,8463.70836777943,8246.7493152793,7814.20001261945,7814.20001261945,1405.50813535665,10647.9458122427,1067.75975135008,1067.75975135008,1074.12569778315,1074.12569778315,1074.12569778315,8058.44156955769,8058.44156955769,8058.44156955769,8058.44156955769,10741.9845794282,8796.13987871507,7860.42423676797,,7860.42423676797,7860.42423676797
BHR,,2005.85277570665,2005.85277570665,3841.73416987703,3077.36704116564,6189.86598089729,6189.86598089729,6189.86598089729,6189.86598089729,6189.86598089729,12567.530247294,12567.530247294,4569.4446029187,,4569.4446029187,4569.4446029187,4569.4446029187,2835.84853594991,3620.61748782504,5906.21414924277,5906.21414924277,7142.12092122881,5411.98929246171,5411.98929246171,3679.69572541942,13710.6430256655,4063.58828798775,4063.58828798775,3802.68126906807,3802.68126906807,3802.68126906807,6999.34442725525,6999.34442725525,6999.34442725525,6999.34442725525,13816.9916873787,7032.61762719769,5628.48715508475,,5628.48715508475,5628.48715508475
BHS,,12526.0935777653,12526.0935777653,8234.85214085671,8972.962820731,12671.2855395657,12671.2855395657,12671.2855395657,12671.2855395657,12671.2855395657,553.888342007793,553.888342007793,7511.5784084703,,7511.5784084703,7511.5784084703,7511.5784084703,9233.79184673661,8457.61258295335,15942.5640959223,15942.5640959223,12621.0453533362,15242.1874509898,15242.1874509898,8588.06115105592,1712.7030663232,8032.27417766787,8032.27417766787,8383.06894532699,8383.06894532699,8383.06894532699,12513.8925622079,12513.8925622079,12513.8925622079,12513.8925622079,1769.04444193871,14100.9246037896,14891.3242795178,,14891.3242795178,14891.3242795178
BIH,,4435.90697407579,4435.90697407579,508.66003469776,420.584024824071,7630.10043609556,7630.10043609556,7630.10043609556,7630.10043609556,7630.10043609556,9073.69046954361,9073.69046954361,1144.20148170721,,1144.20148170721,1144.20148170721,1144.20148170721,791.51623765954,407.702003535492,8852.67539073278,8852.67539073278,8483.30857740423,8192.95877172018,8192.95877172018,1297.75625350849,10227.9164454275,755.757461313092,755.757461313092,951.867378273337,951.867378273337,951.867378273337,8292.44591069554,8292.44591069554,8292.44591069554,8292.44591069554,10323.7622578376,9102.41417555356,8223.57671218945,,8223.57671218945,8223.57671218945
BLR,,3879.32036397389,3879.32036397389,1006.34503621729,1284.38487229315,6484.12290064031,6484.12290064031,6484.12290064031,6484.12290064031,6484.12290064031,9174.51848025132,9174.51848025132,1433.46596277207,,1433.46596277207,1433.46596277207,1433.46596277207,1793.45245255562,928.126987444027,8148.46660888188,8148.46660888188,7291.31009133302,7436.27932400305,7436.27932400305,2596.98219242648,10419.0501387533,995.397216447636,995.397216447636,476.883181338984,476.883181338984,476.883181338984,7097.72392665911,7097.72392665911,7097.72392665911,7097.72392665911,10442.9288979742,8049.10867518053,7384.53745464956,,7384.53745464956,7384.53745464956
