ISO,value,Sofia_45_Europa,Sofia_47_Europa,Santiago_70_Americas,Beijing_49_Asia,Havanna_60_Americas,Havanna_60_Americas.1,AddisAbeba_77_Africa,Bonn_48_Europa,Bonn_49_Europa,Bonn_52_Europa,Bonn_54_Europa,Budapest_47_Europa,Budapest_48_Europa,Prague_45_Europa,Warsaw_47_Europa,Pyongyang_48_Asia,Pyongyang_49_Asia,Bucharest_45_Europa,Bucharest_47_Europa,Moscow_49_Europa,HaNoi_76_Asia,Belgrade_45_Europa
"",,,,,,,,,,,,,,,,,,,,,,,
ABW,,,,,,,,,,,,,,,,,,,,,,,
BOL,,11309.7593834701,11309.7593834701,1682.07665657472,17686.4646410912,5022.93289536929,,11806.4858438421,10448.0648737984,10448.0648737984,10448.0648737984,10448.0648737984,11139.1176716732,11139.1176716732,10900.8227645209,11411.2989819248,17552.2951773915,17552.2951773915,11574.1232412335,11574.1232412335,12539.9626988874,19076.8570260454,11151.3046560179
BRA,,9721.0515091917,9721.0515091917,3009.07235460371,16932.481076303,5712.79344792448,,9931.32831849584,9102.95974797707,9102.95974797707,9102.95974797707,9102.95974797707,9655.00942187063,9655.00942187063,9493.28090305533,10011.7016582578,17356.0667960612,17356.0667960612,10003.4621421528,10003.4621421528,11165.9836120624,17201.6213706097,9612.15754251652
BRB,,8461.59126593195,8461.59126593195,5281.37990374489,14121.8867743512,2645.69424073856,,10688.7839449895,7255.90367370134,7255.90367370134,7255.90367370134,7255.90367370134,8104.85410231235,8104.85410231235,7764.3278976433,8230.29638581176,14206.6771452469,14206.6771452469,8665.21729773353,8665.21729773353,9261.04957766719,15913.11741048,8215.31226098181
BRN,,9777.61693049188,9777.61693049188,16791.4906952127,3881.17918680177,16386.2516824527,,8417.86003753733,10827.5837340233,10827.5837340233,10827.5837340233,10827.5837340233,10046.6124918863,10046.6124918863,10341.1281196136,9849.52521021549,3935.61893442379,3935.61893442379,9540.58588601616,9540.58588601616,8766.85627691123,2037.9528271343,9983.42891325217
BTN,,6117.58942917122,6117.58942917122,18024.0804179167,2822.41201018562,14339.4656950193,,5708.30898726048,7188.28763698792,7188.28763698792,7188.28763698792,7188.28763698792,6382.71645189097,6382.71645189097,6690.28115993406,6210.38995064926,3573.08262884662,3573.08262884662,5875.81833020579,5875.81833020579,5174.30291600056,1793.03544289533,6317.54366858317
BWA,,7462.07309379726,7462.07309379726,9108.13296654868,11763.9926089966,12813.1889605469,,3977.53085176574,8553.70714086543,8553.70714086543,8553.70714086543,8553.70714086543,8017.74189215071,8017.74189215071,8356.32047148088,8530.74879171752,12508.6869408456,12508.6869408456,7650.49613806892,7650.49613806892,8978.14302151159,10014.4482496873,7712.85604210822
CAF,,4269.86282494653,4269.86282494653,10206.2499165289,10367.6810027027,10936.4268361096,,2291.439528463,5247.63022550275,5247.63022550275,5247.63022550275,5247.63022550275,4775.59746870621,4775.59746870621,5079.93773163663,5308.49519614394,11175.736353872,11175.736353872,4498.00434426773,4498.00434426773,5944.19167742242,9563.25261232158,4483.05843809918
CAN,,7390.29969546308,7390.29969546308,8747.85285373382,10476.7602685823,2545.0618218367,,11142.5162895984,5867.24815402492,5867.24815402492,5867.24815402492,5867.24815402492,6800.86795202036,6800.86795202036,6350.34042970465,6595.6402837368,10408.6464952859,10408.6464952859,7432.2567031513,7432.2567031513,7179.76959969677,12644.1954493038,7062.32684630549
CHE,,1338.18953799035,1338.18953799035,11831.4132736063,8095.36801741496,8152.34329893716,,5143.96217027253,421.988858211682,421.988858211682,421.988858211682,421.988858211682,887.014621461741,887.014621461741,621.667650599234,1140.09635402069,8689.74944694319,8689.74944694319,1475.65097161273,1475.65097161273,2294.35794742526,8939.52524392102,1035.6368453253
CHL,,12729.580870338,12729.580870338,0,19059.0033207979,6382.85866684965,,12360.9759441859,12026.4162354595,12026.4162354595,12026.4162354595,12026.4162354595,12642.7082568363,12642.7082568363,12450.3287001126,12967.6057368386,18425.6308962225,18425.6308962225,13010.8124993153,13010.8124993153,14115.646410019,18587.865189804,12614.0495115504
CHN,,7370.67318230649,7370.67318230649,19059.0033207979,0,12760.6160558418,,8319.94082984057,7843.31638415979,7843.31638415979,7843.31638415979,7843.31638415979,7353.15256184842,7353.15256184842,7475.13461068815,6959.10899176555,810.776616623736,810.776616623736,7077.80314762328,7077.80314762328,5808.19383003331,2320.31029011002,7433.25818633149
CIV,,4867.02157192806,4867.02157192806,8196.76788137705,12120.8315388533,8402.33265042279,,4858.95303581648,5003.28488210696,5003.28488210696,5003.28488210696,5003.28488210696,5070.41205781447,5070.41205781447,5136.8671084522,5579.90448716289,12864.1184416745,12864.1184416745,5162.19532391387,5162.19532391387,6609.49991626825,11906.110812689,4893.77593389469
